face, confidence, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,File
0,0.875,0,0,1.59,0,0,0.06,0,0.27,0,0,0.39,0,0,0,0.09,0.24,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Training_10598340.csv 
0,0.675,0,0,0.71,0,0.27,0,0.6,1.33,0.2,0.58,0.65,0,0.04,0,1.07,0,0.01,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,Training_1070239.csv 
0,0.875,0,0,0.25,0.74,1.15,1.38,1.22,0.52,0.76,0.72,0,0,0.17,0,0.1,0,0.34,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,Training_11550217.csv 
0,0.875,0.12,0,1.25,0.46,1.59,2.13,2.98,1.03,0,1.53,0.97,1.47,1.42,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,Training_11871637.csv 
0,0.875,0.46,0,0.61,0,0,0,0,0.34,0.24,0,0,0,0,0,0.05,0,0.23,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Training_11946126.csv 
0,0.875,0.89,0,1.89,0.21,1.34,3.76,1.56,0.82,0.31,0,0.95,0,0.8,0,0.79,0,0.04,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,Training_12096769.csv 
0,0.875,1.44,0,0.44,0.48,0.62,0.45,1.54,2.09,0.26,0,0.7,0,1.55,0,0.3,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,Training_12525818.csv 
0,0.925,1.09,0.38,1.11,0,0.07,0,0.03,1.59,0.3,0.53,0.25,0.21,0.65,0,0.4,0,0.19,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,Training_12896398.csv 
0,0.875,0.55,0,0.08,0,0,0,0,0.39,0.2,0,0,0,0,0,0.34,0.61,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,Training_13362748.csv 
0,0.875,0.48,0,0.7,0,0.35,0.3,0,0,0,0,0.7,0.42,0.6,0.09,0,0.53,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,Training_13647830.csv 
0,0.875,0.63,0,1.26,0,0,0,0,0,0.06,0,0.14,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Training_13740441.csv 
0,0.875,0.15,0.27,0,0.97,0,0.49,0.48,0,0,0,0.61,0,0.63,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,Training_13902995.csv 
0,0.825,0,0,0,2.13,0,0,0,0,0,0,3.35,0,0,0.28,0,2.71,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,Training_14719775.csv 
0,0.875,0,0,0.18,0,0.34,0.27,1.62,0.28,0.03,1.36,0.73,0,1.35,0,0,0,0.16,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,Training_15104479.csv 
0,0.875,0.48,0.1,0,0.15,0,0,0.63,0.26,0,0.43,0.6,0.22,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Training_15256337.csv 
0,0.875,0,0,0.99,0,1.98,1.98,0.65,1.46,1.94,2.21,0.22,0.02,0.18,0.21,1.81,0.97,0.31,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,Training_15293498.csv 
0,0.875,0.23,0,0,0.98,0.06,1.55,1.36,0,0,0,0.48,0,1.13,0,0,0.59,0.34,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,Training_16203955.csv 
0,0.875,2.15,0.58,0.52,2.01,0.32,0.16,0.04,0,0.04,0,0.34,0,0,0,0,0,0.08,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,Training_16497482.csv 
0,0.875,0,0.04,0.65,0.14,0,0.62,1.22,0.05,0,0.28,0.27,0.12,1.18,0,0,1.17,0.21,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,Training_17174181.csv 
0,0.925,1.88,1.11,1.14,0,0,0,0.01,0.92,0,0.22,0.6,0,0.68,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,Training_18375779.csv 
0,0.875,0,0,0.36,0.26,0.23,1.51,2.32,0.95,0,1.78,0.5,0.39,0.06,0.02,0,0,1.31,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,Training_19204784.csv 
0,0.875,0.09,0,0.87,1.05,0.52,0.64,0.83,0.43,0.25,0,0.29,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Training_19209073.csv 
0,0.975,0,0,1.44,0.91,0.66,3.08,1.04,0.88,0.35,0,0.49,0,0,0,0.03,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,Training_19915172.csv 
