 confidence, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,Filename
0.875,0,0,0.51,0,0.29,0.35,0,0,0.47,0,0.18,0,0.5,0,0,0.54,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,Training_10031494.csv 
0.875,0,0,0,0,0.78,1.21,0.18,0,0.94,0.48,0,0,0,0.43,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,Training_10110501.csv 
0,1.51,0.38,0.02,0.58,0.03,0,0,0,0.27,0.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Training_10127393.csv 
0.875,1.33,0.32,0,0.93,0,1.05,0.02,0,0.64,0.31,0.36,1.32,0.49,0,0.76,0.26,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,Training_10208260.csv 
0.875,0,0,0,0.16,0,0.19,0,0.27,0.4,0,0.49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Training_10323859.csv 
0.875,0,0,1.19,0,0.07,0.94,0,0.96,1.21,1.31,0,0,0.05,0,1.14,0.54,1.09,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,Training_10395418.csv 
0.875,0.95,0.33,0,0.31,0,0.39,0,1.61,0.71,0,0,1.04,0.88,0,0,0.38,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,Training_1040092.csv 
0.975,1.18,0.14,0,0.35,0.27,2.3,0.46,0,0,0,0,0,0.26,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,Training_10510421.csv 
0.925,0,0,0,0,0,0,0,0.26,0,0.41,2.04,0,0,1.75,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,Training_10573197.csv 
0.925,0.4,0,0.05,0.71,0,1.15,0,0.04,0.63,0,0,0.95,0.7,0,0.55,0.47,0.56,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,Training_10614740.csv 
0.925,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0.36,1.57,0.88,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Training_10710108.csv 
0.875,0.54,0,0,0.86,0.32,1.46,0.5,0.39,0,0,1.74,1.4,1.98,0,0.4,0.8,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,Training_10764539.csv 
0,1.59,0.73,0.02,1.26,0.76,0.82,0.58,0.37,0,0,0,0.81,0.39,0.96,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,Training_10863234.csv 
0.875,0,0,0.86,0,0.38,1.28,0.4,0,0,0,0,0,1,0.42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,Training_10914115.csv 
0.875,0.6,0.45,0.45,0.21,0.28,0.58,1.19,1.58,0.63,1.54,0.55,0.34,0.36,0,0.67,1.47,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,Training_10920127.csv 
0.925,1.61,0,0,0.22,0.47,0,0.2,0.6,0,2.22,0,0,0,0,0.1,0.21,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,Training_10942406.csv 
0.875,0,0,1.32,0,0.42,1.75,1.26,0.31,0.26,0,1.2,0.12,0,0.35,0,1.16,0.55,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,Training_10985278.csv 
0.875,0.48,0,0,0,0.6,0.74,0.78,1,0.35,1.47,0.47,0.35,1.1,0,0.15,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,Training_11020660.csv 
0.875,1.34,0,0.33,0.57,0,0,0,0.52,0.86,2.05,0.13,0.42,0,0,0.11,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,Training_11101710.csv 
0.975,0.08,0,0,0.26,0,0,0,1.56,0.17,0.21,1.15,2.35,1.57,0.13,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,Training_11162020.csv 
0.875,0.96,0.43,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0.49,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,Training_11258985.csv 
0.975,0,0,0.78,0,0.37,1,0,0.91,0.16,0,0,0,0.06,0,0.01,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Training_11377690.csv 
0.875,1.08,0.38,0.7,0.57,0,0,0,0.12,0,0.22,0,0,0.16,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,Training_11439406.csv 
0.925,0.4,0.17,0.25,0.47,0.52,0,0,0.16,0.5,0.75,0,0,1.31,0,0.94,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,Training_11442660.csv 
0.975,0.2,0,1.67,0,0.6,2.39,1.65,0.66,0,1.09,0.58,1.25,0.38,0.95,0,0.33,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,Training_11659560.csv 
0.875,1.24,1.05,0,1.63,0,0,0.32,0.54,0.84,0.1,0.86,0.98,0.27,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Training_11739536.csv 
0.875,0.33,0,1.72,0,0,0.84,0.14,0,0,0.39,0.59,0,0.33,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,Training_11746654.csv 
0.875,0.55,0,0,0.09,0,0.66,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Training_11790079.csv 
0.875,0,0,0,1.04,0,0.22,0,0.08,0.03,1.33,0,0,0,0,0,0,0.48,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,Training_1184327.csv 
0.875,0,0,0,1.42,0.43,1.54,1.43,0.28,0.36,0,0,0,0.4,0,0.02,0.13,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,Training_11934630.csv 
0.875,0.01,0,0.85,0.95,0,0,0,1.2,0,0,0.65,0.1,2.28,0,0.47,1.06,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,Training_11942715.csv 
0.975,0.74,0,0.08,0,0.19,0.02,0,0.55,0.42,0,0.47,2.09,0,0.11,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,Training_12042390.csv 
0.975,0,0,0.33,0,1.35,1.02,1.66,1.46,0.26,0,0.76,0.25,0.31,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,Training_12084676.csv 
0.975,0.61,0,0.07,0.26,0,0,0,0,0.12,0.53,0.08,0,1.08,0,0.21,0,0.64,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,Training_12183221.csv 
0.875,1.49,1.33,0,0.73,0,0,0,0.24,0.08,0,0.47,0.27,1.12,0,0.2,0.67,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,Training_12246633.csv 
0,1.78,0.69,0,1.64,0,0,0,0.1,0.01,0.12,0.24,0.77,1.86,0,0.19,0.36,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,Training_12342645.csv 
0.975,1.22,0,0,1.78,0,0,0.24,0.26,0,0,1.13,0,1.74,0,0.19,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,Training_12391585.csv 
0.875,0,0,0.78,0,0,0.17,0.41,0,0,0.84,0.34,0,1.04,0,0,0,1.52,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,Training_12407165.csv 
0.875,1.45,1.21,0,0.82,0,0,0,0.02,0,0.26,0.13,0,1.4,0,0,0.67,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,Training_12470816.csv 
0.875,1.37,1.07,0,0.13,0,0,0,0,0,0,0.33,0,1.11,0,0.76,1.69,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,Training_12483821.csv 
0.875,1.18,0.43,0,2.3,0.02,0,0,0,0,0,0.59,0,1.37,0.49,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,Training_12557988.csv 
0.875,1.69,1.61,0,0.77,0.78,1.82,1.08,0.23,0,0.67,0,0.27,0.58,0,0.29,1.47,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,Training_12603135.csv 
0,0.45,0,0.44,1.87,0,0,0,0,0,0.39,0.34,0.22,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Training_12703929.csv 
0.875,0,0.11,0,0.95,0.22,0,0.39,0.13,0.18,1.4,0.57,1.3,0.32,0,0,0.83,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,Training_12705687.csv 
0.875,1.04,0.54,0,2.31,0,0,0,0,0,0,0.25,0,0.04,0,0,0.91,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,Training_12787195.csv 
0.875,0.63,0.2,0,2.97,0,0,0,0,0,0,0.55,0,1.58,0,0,0.1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Training_12796432.csv 
0,0,0,0,0.27,0.37,0,0,0,0,0,0.56,0.52,0,0.5,0,0,0.66,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,Training_12854167.csv 
0.875,1.07,0,0,2.26,0,0,0,0,0,0,0.59,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Training_12892400.csv 
0,0.13,0,1.03,0,0,0,0.71,0.66,0,0,1.64,0,0.13,0,0.03,1.05,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,Training_13021450.csv 
0.875,0.69,0,0.58,0.25,0,0,0.12,0,0.07,0,0.37,0,0,0,0,0.9,0.24,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,Training_13092712.csv 
0.875,0,0,0.2,0,0,0.65,0,1.15,0.82,0,1.29,0,0,0,0.51,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,Training_13292144.csv 
0.875,0.97,0.23,0,1.29,0,0,0,0,0,0.4,0.63,0,0,0.31,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,Training_13304008.csv 
0.825,0.31,0,0,0,0.66,1.28,0.84,1.63,0.26,0.9,1.14,0.99,1.23,0,0,1.08,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,Training_13472417.csv 
0.875,0.65,1.2,0.15,3.35,0.67,0,0.05,2.28,0.79,0,0.35,0,0.7,0,1.09,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,Training_13518018.csv 
0,0.3,0.22,0,2.17,0.56,1.48,0,0,1.63,0,0.52,0.83,0.45,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,Training_13529586.csv 
0.925,1,0.75,0,0,0.17,1.5,0.02,0.29,0.99,0.68,0,0,0.52,0.04,0.51,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,Training_13573346.csv 
0.875,2.09,0.07,0.24,3.71,0,0.27,0,0,0,0,0.94,0.42,2.09,0,0.11,0.03,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Training_13604442.csv 
0.875,1.73,0.83,0,1.17,0,0,0,0.45,0.53,0,0.79,1.52,0,0,0.37,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Training_13608572.csv 
0.875,1.52,0.79,0,1.66,0.03,0,0.75,0.8,0,0,0.49,0.57,0,0,0,0.74,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,Training_13611558.csv 
0,1.45,1.1,0,2.16,0,0,0,0,0,0,0,0,0.56,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Training_13640418.csv 
0.975,0.42,0,0,0,0.34,0,0,0.18,0.93,1.65,0.37,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,Training_13645863.csv 
0.875,0.41,0,0.26,0.91,1.81,1.2,0.37,0.67,0.69,0,0.65,1.08,3.42,0.66,0,0,0.28,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,Training_13668335.csv 
0.875,0,0,0,1.4,0.49,1.95,1.33,0.5,0.51,0,0,0,0.12,0,0,0,0.93,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,Training_13678577.csv 
0.875,1.71,0,0.43,1.77,0,0,0.3,0.9,0,0.64,0,0,0.61,0,0.35,1.15,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,Training_13684355.csv 
0.875,0.99,0,0.24,0.01,0,0.84,0,0,0,0,0.06,0,1.23,0,0.41,0.56,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,Training_13685639.csv 
0.875,1.1,1.08,0.79,1.23,0.85,1.43,0.68,1.09,0.31,0.54,0.56,0.93,1.14,0,0.4,0.58,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,Training_136869.csv 
0.975,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0.33,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,Training_1369871.csv 
0.875,1.92,0.66,0.26,1.12,0,0,0,0,0,0,0.69,0,1.94,0,0.5,0.1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,Training_1371947.csv 
0.875,0,0,0.27,0.14,0.64,1.79,1.51,1.87,0.27,0.48,1.22,1.99,1.64,0,0,1.25,0.59,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,Training_13728106.csv 
0.875,1.46,1.18,0.08,0.54,0,0,0,0,0.14,2.01,0,0,0.32,0,0.38,0.14,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,Training_13761708.csv 
0.875,0.57,0,0.34,0.41,0.95,2.89,0.72,0.35,0.96,0.75,0,0,1.5,0,0.64,0.01,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,Training_13829541.csv 
0.825,1.11,0,0,0.32,0,0,0,0,0.02,0,1.31,0.23,0.12,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Training_13904746.csv 
0.875,0,1.15,0,0.87,0,0,0,0,0.3,1.66,0,0.48,0.55,0.12,0,0.24,0.51,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Training_14125120.csv 
0.875,1.05,0.82,0,0.39,0,0.15,0,0,0,0,0,0,0,0,0,0.98,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Training_14127407.csv 
0,1.29,0.09,0.88,2.56,0,0,0,0,0,0,0.17,0,0.43,0,0,0.02,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Training_14154412.csv 
0.875,0.37,0,2.96,0,0,0.39,0.2,1.59,0,0,1.1,0.26,0.46,0.37,0,0,0.08,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,Training_14200571.csv 
0.875,0.55,0,0.94,0.26,0,1.19,0.45,0.12,1.33,2.07,0,0.61,0.92,0,1.59,1.49,0.29,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,Training_14307261.csv 
0.875,0,0,0,0,0,0,0,0,0,0,0.04,0,0.68,0,0,0.22,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Training_1440087.csv 
0.975,0,0,0,0,0,0,0,0,0,0,0.56,0.88,1.42,0,0.54,0.78,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,Training_14466250.csv 
0,0.92,0.42,0.6,0.41,0,0,0,0.27,0,0,0.42,0.84,0,0,0.53,0.59,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,Training_14510841.csv 
0,1.63,0.91,0,0.51,0,0,0,0,0.4,0.84,0,0,2.46,0,0.76,0.85,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,Training_14592497.csv 
0.875,1.78,0.59,0,1.49,0,0,0,0,0.07,0,0,0,0.47,0,0.47,1.47,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,Training_14924695.csv 
0.875,0,0,0.64,0,0,0.51,0,0,0.19,0.65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Training_14932777.csv 
0,0,0.26,0,0,0.02,0.15,0.49,0,0,0.36,0.96,0.15,1.71,0,0.77,0.64,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,Training_14972218.csv 
0,0,0,0.01,1.85,0,0.29,0,0.5,0,0.11,1.11,0,0,0.12,0,0,0.31,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,Training_1497603.csv 
0.975,0,0,0,0,0,2.17,0.15,0,0,0.28,0,0.33,0.31,0.02,0,0.43,0.64,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,Training_14978296.csv 
0.925,2.01,1.33,1.65,1.23,0.14,0.6,0.47,0.46,0,0.08,1,1.39,1.23,0.25,0.02,0,0.21,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,Training_15113585.csv 
0.875,1.22,0.16,0.15,0,0.25,0.09,0,1.68,0.78,1.53,0.07,0,0,0,0.3,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,Training_15131986.csv 
0.975,0.6,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.76,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,Training_15200558.csv 
