face, confidence, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,File
0,0,0.66,0.11,0,0.64,0,0,0,0.7,0.08,0.04,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,Training_10031481.csv 
0,0.975,0,0,0,0,0,0,0,0,0.06,0.74,0.44,0.66,0.52,0,0.1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,Training_10115766.csv 
0,0,0.77,0.47,0,0.93,0,0,0,0,0,1.13,0,0.99,0.65,0.47,0,0.93,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,Training_10122997.csv 
0,0.875,0.01,0,0.06,0,0,0.75,0,0,0,0.47,0,0,0,0.01,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Training_10134025.csv 
0,0.875,2.34,0.81,0,0,0,0,0,0,0,0.29,0.23,0,0.04,0,0,0.18,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,Training_1015213.csv 
0,0.975,0.08,0.14,0,0.09,0,0.14,0.25,0,0,0,0.5,0,1.4,0.15,0.06,1.52,0.01,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,Training_10192232.csv 
0,0.875,0,0,0.3,0.29,0,0.05,0,0,0,0.99,0,0.17,0.99,0,0.68,0.91,0.7,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,Training_10204058.csv 
0,0.975,0,0,0,1.53,0.72,2.1,1.17,0,0,0,1.17,0,2.3,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,Training_10235859.csv 
0,0.925,1.36,0,0,0,0.54,0,0,1.31,0.91,0.98,0.68,0.13,0.52,0,0,0.05,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,Training_10248550.csv 
0,0.925,0,0,0.95,0,0,0,0,0.84,0,3.88,1,0.74,2.36,0.46,0,0.31,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,Training_10351430.csv 
0,0.975,0,0,0.06,0,0,0.28,0.42,1.38,0.08,0,1.54,0,1.58,0,0.23,0.87,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,Training_10399611.csv 
0,0,1.16,0,0.85,1.27,0.22,0.62,0.33,2.26,0.3,1.53,0.09,0,0.62,0,0.72,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,Training_1055316.csv 
0,0.875,2.22,0.64,2.85,1.4,0,0,0,0.31,0,0.14,1.03,0.31,1.87,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,Training_10631290.csv 
0,0.925,0.67,0,0,1.13,0.02,0.55,0,0,0,0.34,0.8,0,0,0,0.41,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Training_10642717.csv 
