face, confidence, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,File
0,0,1.07,0,1,0,0.42,0,0,0,0.15,0,0,0,0.35,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Training_10013223.csv 
0,0.875,2.18,1.2,0.04,0.84,0,0,0,0,0.13,0.08,0.08,0,1.35,0,0.5,0.54,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,Training_1002457.csv 
0,0.875,1.18,0,0.67,1.72,0,0,0,0,0,0,0.57,0,0.27,0,0,0.06,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training_10060820.csv 
0,0.875,0.79,0.4,0,1.25,0,0,0,0,0.74,0,0.2,0.04,1.28,0,0,0.66,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,Training_10073433.csv 
0,0.975,3.02,1.01,0,3.07,0,0,0,0,0.05,0,0.11,0,1.73,0,0.83,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,Training_10135912.csv 
0,0.875,0.29,0,0.03,0,0,0,0,0.36,0,1.18,0,0.43,0.22,0.07,0,1.17,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,Training_10191209.csv 
0,0.875,0.46,0,0.42,0.56,0,0,0,0,0,0,0,0,0,0,0,0.97,0.16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Training_10218600.csv 
0,0.875,1.14,1.67,0,1.63,0,0,0,0,0,0.32,0,0,1.02,0.23,0.1,1.49,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,Training_10218787.csv 
0,0.875,2.32,1.44,0.5,1.6,0,0,0,0,0,0.31,0.51,0,0.11,0,0,0.94,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Training_10227694.csv 
0,0,1.32,0,0,1.28,0,0.44,0,0.43,1.01,0,0.29,0.96,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,Training_10243579.csv 
0,0.875,1.65,0.55,0,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training_10289074.csv 
0,0,0.1,0,1.53,0,0,0.09,0,0,0.35,1.32,0.02,0.29,0,0,0,1.78,0.4,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,Training_10337425.csv 
0,0.875,0,0,0,0.07,0.18,1.28,0.07,0,0.66,0,0,0,1.12,0.2,0,0.75,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,Training_10346302.csv 
0,0.925,0.63,0.16,0,1.7,0,0,0,0.67,0.25,0,0.23,0,0,0,0,0.43,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,Training_10353847.csv 
0,0.925,1.15,0.76,0,0.31,0,0,0,0,0.2,0,0.33,0,0,0,0.03,1.05,0.07,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,Training_10366009.csv 
0,0.875,0,0,0,0.4,0,0.57,0,0.22,0.77,0,0,0,1.19,0,0.5,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,Training_10454485.csv 
0,0.875,1.48,0.81,0,2.06,0,0,0,0,0,0,0.25,0,0.71,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Training_10459791.csv 
0,0.975,0.09,0,0.33,0,0,0,0,0.25,0.7,1.12,0,0,1.03,0,1.08,0.07,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,Training_10466459.csv 
0,0.925,1.21,0.17,0,0,0,0,0,0,0.42,0,0.09,0,1.22,0,0.68,0.61,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,Training_1047709.csv 
0,0,1.22,0.75,0,1.28,0,0.36,0,0,0,0,0.24,0.01,1.01,0.31,0,0.22,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,Training_10543712.csv 
0,0.875,1.04,0.9,0,2.41,0,0,0,0,0.73,0.69,0,1.45,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Training_10595844.csv 
0,0.525,1.83,2.08,0,1.24,0,0,0,0.37,0,0.52,0.16,0.01,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Training_1062767.csv 
0,0.875,1.09,1.05,0,1.52,0,0.52,0,0,0,0,0.49,0.67,0,0,0,0.58,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,Training_10628873.csv 
0,0.875,1.14,0.46,0,0.52,0,0,0,0,0.49,0.27,0.16,0.09,1.62,0,0.46,1.79,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,Training_10680351.csv 
0,0.925,0.08,0,0,0.69,0,0,0,0,0.13,0.25,0,0,0,0,0.25,1.56,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,Training_10746694.csv 
0,0.875,0.89,0.2,0.72,1.06,0,0,0,0,0,0,0,0.03,0,0,0,2.34,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,Training_1075765.csv 
0,0.875,2.25,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0.49,1.88,0.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Training_10787563.csv 
0,0.875,0.34,0,0,1.41,0.03,0,0,0,0,0,0.77,0,0.71,1.99,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,Training_1081053.csv 
0,0.875,0,0,0,2.39,0,0.35,0.2,0,0,0.74,0,1.53,1,0.92,0,0.84,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,Training_10819158.csv 
0,0.875,0.01,0,0,0.25,0,0,0,0,0.07,0,0,0,0.44,0,0.37,0.38,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Training_10825264.csv 
0,0.875,0.63,0,0,2.19,0.25,0,0,0,0.07,0.05,0.57,0.56,0.4,0.21,0,1.37,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,Training_1082705.csv 
0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0.6,0.12,0,0.02,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,Training_10852147.csv 
0,0,1.78,1.14,0,2.32,0,0,0,1.22,0,1.03,0,1.31,0.23,0,0,0.23,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,Training_10916342.csv 
0,0.875,1.43,0.51,0,1.57,0,0,0,0,0.05,0.72,0.15,0,0,0,0.6,0.25,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Training_10946382.csv 
0,0,0.8,1.12,0,1.04,0.29,0.79,0.01,0.09,0.35,0,0.63,0,0.98,0,0.28,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,Training_10974025.csv 
