face, confidence, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,File
0,0,0,0,1.2,0,0.26,0,0,0.43,1.52,1.03,0.85,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,Training_10269675_KN95.csv 
0,0,0,0,0.55,0,0.27,1.61,0.43,0,0.12,0.58,0,0,1.28,0,0.31,1.06,0.58,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,Training_10278738_inpaint.csv 
0,0,0,0,0,0,0.91,1.49,0.48,0.52,0.51,0,0.43,0,0.93,0.13,0,0,0.17,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,Training_10278738_KN95.csv 
0,0,0,0,0.19,0,1.17,2.88,1.01,0,0,0,0.59,0,0.95,0.34,0,1.67,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,Training_10278738_surgical.csv 
0,0,0,0,0,0,1.26,2.56,1.33,0,0.44,0,0.16,0.14,1.4,0.07,0,1.58,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,Training_10278738_surgical_blue.csv 
0,0,0,0,0,0,1.05,2.25,1.2,0.02,0,0,0.29,0,1.9,0.25,0,2.26,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,Training_10278738_surgical_green.csv 
0,0,0,0.19,0,0,1.07,0,0,0.01,0.99,0.6,1.24,1.41,0.1,1.44,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,Training_10295477_KN95.csv 
0,0.025,0.37,0,0,0,0.81,0,0.82,1.04,0.89,0,0.45,1.19,1.71,0.53,0.13,0.78,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,Training_10295477_surgical.csv 
0,0.875,0,0,0,0,1.08,0,0.08,1.33,0.39,0.31,1.05,1.29,2.17,0.96,0,0.63,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,Training_10295477_surgical_blue.csv 
0,0.025,0,0,0,0,0.95,0,0.83,0.91,0.97,0,0.49,0.94,2.32,0.64,0.42,0.9,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,Training_10295477_surgical_green.csv 
0,0.875,0.23,0,0.14,0,0.72,0,0,1.07,0,0.51,1.46,0.39,0.65,1.44,0,0,0.33,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,Training_10315441_cloth.csv 
0,0.025,0.8,0,0,0,0.27,0,0,0,0,0,1.17,0.89,0.55,0.67,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,Training_10315441_KN95.csv 
0,0,0.23,0,0,0,1.27,0.72,0.92,0,0.08,0,0.24,0.46,0.81,0.83,0.02,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,Training_10315441_surgical.csv 
0,0.875,0.41,0,0,0.26,1.14,0.67,0.87,0,0.46,0,0.43,1.1,2.34,1.4,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,Training_10315441_surgical_blue.csv 
0,0,0.27,0,0,0.11,1.34,0.57,0.93,0,0.17,0,0.35,0.49,1,0.63,0.05,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,Training_10315441_surgical_green.csv 
0,0.875,1.42,0.92,2.19,0,0.01,0,0,0,1.16,2.55,1.45,1.52,0.25,0.25,0.21,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,Training_10334355_KN95.csv 
0,0.825,0.9,0.59,2.7,0.44,0,0,0.33,1.08,1.05,3.18,1.42,2.11,0,0.68,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,Training_10334355_N95.csv 
