face, confidence, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,File
0,0.875,1.53,0,1.14,0,0,0,0,0,0,0,0.21,0,0,0,0,0.45,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Training_10269675.csv 
0,0,0,0,0.16,0,0.02,0.68,1.03,0.15,0,0,0.53,0,0.83,0,0,0,0.21,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,Training_10278738.csv 
0,0.875,0.53,0.44,0,0,0.14,0,0,0.52,0.4,0,0.45,0,1.58,0,0.51,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,Training_10295477.csv 
0,0.875,0.96,0,0,1.13,0.61,0,0.39,0.87,0.04,0,0.98,0,1.59,0,0,0,0.54,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,Training_10315441.csv 
0,0.875,1.39,1.23,2.74,0.34,0,0,0.05,0.25,0.36,1.26,0.39,0.79,0.65,0,0.17,0.03,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,Training_10334355.csv 
0,0.875,0.62,0.4,1.58,0,0.61,2.08,0.88,1.13,0.06,0.15,0.14,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Training_10345473.csv 
0,0.875,0.66,0,1.15,0,0.58,1.21,2,0,0.11,0,1.33,0,1.87,0,0.11,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,Training_10422050.csv 
0,0.825,1.37,0.02,0.12,1.08,0.21,0.64,0.5,0,0.4,0.18,0.65,0,0,0,0.55,0.78,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Training_10485618.csv 
0,0.975,0,0,0,0,0.02,0,0.17,0.15,0,0.08,0.44,0,0,0,0.69,1.67,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,Training_10503476.csv 
0,0.975,0.33,1.07,0.22,0.8,0.25,0,0.87,0.58,0.06,1.12,0.25,0,0.08,0.02,0,0.67,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,Training_10524198.csv 
