face, confidence, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,File
0,0.025,1.01,0,1.18,1.37,0,0,0,1.33,0.53,2.4,0.69,1.32,0,0.3,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,Training_10598340_cloth.csv 
0,0,0.08,0,1.48,0,0,0.79,0.49,1.39,0.02,0.76,0.94,1.55,2.21,0.18,0.24,0,0.25,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,Training_10598340_empty.csv 
0,0.875,0.52,0,1.45,0,0,1.14,0.52,1.3,0.34,1.08,0.64,0,0.19,0,0.57,0.9,0.26,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,Training_10598340_surgical.csv 
0,0.875,0,0,1.42,0,0,1.38,0.22,1.48,0.29,0.7,1.05,0,0.81,0,0.71,0.91,0.13,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,Training_10598340_surgical_blue.csv 
0,0.875,0,0,1.3,0.03,0,1.2,0.54,1.81,0.55,0.63,0.9,0,0.75,0,0.79,1.81,0.16,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,Training_10598340_surgical_green.csv 
0,0.875,0.83,0,0.37,0.22,0.07,0.44,0,0.18,0.96,0.12,0.84,0.57,0.51,0.03,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,Training_1070239_cloth.csv 
0,0.025,0.69,0,0,0,0.17,1.76,0,0.23,0.7,1.36,0.57,0,0,0.29,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,Training_1070239_gas.csv 
0,0.025,0,0,0.68,0,0,1.53,0.89,1.55,0.71,1.96,0.82,0,1.65,0,0.45,0.44,0.56,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,Training_1070239_surgical.csv 
0,0.025,0,0,0.82,0,0.15,1.69,1.02,1.59,0.75,1.59,1.23,0,1.77,0,0.55,0,0.37,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,Training_1070239_surgical_blue.csv 
0,0.025,0,0,0.85,0,0,2.07,0.6,1.69,0.57,1.66,1.18,0,1.73,0.06,0.45,0,0.35,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,Training_1070239_surgical_green.csv 
0,0.875,0,0,0.06,0.67,0.92,0.81,0.68,0.48,0.62,0.57,0.66,1.7,1.01,0.29,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,Training_11550217_gas.csv 
0,0.875,0,0,0.35,0,0.7,1.46,0.65,0,0.57,1.13,1.09,0.21,0.99,0.25,0,0.32,0.38,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,Training_11550217_KN95.csv 
0,0.025,0,0,0.32,0,1.71,2.07,0.99,0.05,0.33,0,0.2,0.5,2.74,0.42,0,0.83,0.06,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,Training_11550217_surgical.csv 
0,0.875,0,0,0,0,2.01,2.27,0.9,0.24,0.54,0,0.14,0.22,2.28,0.37,0,2.6,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,Training_11550217_surgical_blue.csv 
0,0.875,0,0,0,0,1.74,1.68,0.96,0.05,0.44,0,0.29,0.27,2.85,0.24,0,0.42,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,Training_11550217_surgical_green.csv 
0,0.025,0.79,0,1.17,0,1.88,2.74,2,1.3,0.35,1.54,0.65,0.26,2.09,0.4,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,Training_11871637_gas.csv 
0,0.025,0.17,0,0.27,0,1.89,2.23,1.84,0,0.3,0,0.06,0.38,2.31,0.1,0.23,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,Training_11871637_inpaint.csv 
0,0.025,0,0,0.46,0,2.66,2.81,1.8,0,0.11,0,1.34,0,1.88,0.56,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,Training_11871637_surgical.csv 
0,0.025,0,0,0.37,0,2.82,3.24,1.43,0.29,0.67,0,1.21,0,1.07,0.72,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,Training_11871637_surgical_blue.csv 
0,0.025,0,0,0.47,0,2.64,2.93,1.89,0.01,0.5,0,1.13,0.03,1.98,0.72,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,Training_11871637_surgical_green.csv 
0,0.875,0.07,0,0.22,0,0.33,1.01,0,1.21,0.81,0.75,1,2.1,0,0.48,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,Training_11946126_gas.csv 
0,0,0,0,0,0,0,1.4,0,0.08,0.7,1.27,1.09,1.5,1.2,0.89,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,Training_11946126_KN95.csv 
0,0.975,0,0,0.42,0,0.79,1.16,0.6,0.78,0.51,0.27,0.62,0.45,2.17,0.58,0.18,0.69,0.26,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,Training_11946126_surgical.csv 
0,0.975,0,0,0,0,0.81,2.01,0.42,1.15,0.16,0,0.84,0.83,2.33,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,Training_11946126_surgical_blue.csv 
