face, confidence, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,File
0,0,1.36,0,0,0,0.5,2.83,0.67,0.78,0.06,0,1.73,0.45,0.29,0.61,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,Training_10019449_surgical_green.csv 
0,0.875,0,0,0,1.55,1.21,1.65,0.83,0.7,0.45,0,0,0,2.34,0.76,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,Training_10066226_surgical_blue.csv 
0,0,0,0,0,0,0.42,1.18,0,0.83,1.06,1.38,1.8,3.29,1.72,1.01,0,0.75,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,Training_10142161_cloth.csv 
0,0,0,0,0.99,0,0.62,2.32,1.48,1.9,1.54,2.36,1.08,2.88,0.92,0.49,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,Training_10142161_gas.csv 
0,0,0,0,0,0,0,1.58,0.07,0,0.29,0.7,0,0.49,0.53,0.04,0,1.26,0.08,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Training_10142161_inpaint.csv 
0,0,0,0,0,0,0.39,0.79,0,0.42,0.76,1.5,2.17,2.05,1.68,1.16,0,0.88,0.09,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,Training_10142161_KN95.csv 
0,0,0,0,0.73,0,0.38,1.98,1.22,2.09,0.97,1.69,1.4,3.58,0,0.95,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,Training_10142161_N95.csv 
0,0,0,0,0,0,0.37,1.4,0.76,0.15,0.6,0.83,1.06,1.74,1.24,0.89,0,1.2,0.28,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,Training_10142161_surgical.csv 
0,0,0,0,0,0,0.4,2.21,0.88,0.66,0.48,1.15,1.05,0.99,2.68,1.21,0,0.25,0.15,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,Training_10142161_surgical_blue.csv 
0,0,0,0,0,0,0.6,1.48,0.93,0,0.66,0.8,0.96,1.56,1.46,0.84,0,1.44,0.16,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,Training_10142161_surgical_green.csv 
0,0,0,0,0,0.25,1.4,0,0.62,1.28,0.59,0.43,1.28,1.94,0.85,0.31,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,Training_1018317_cloth.csv 
0,0.025,0.51,0,0.86,0,0.76,0,0.1,1.54,1.17,1.02,0.47,2.12,0.37,0.31,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,Training_1018317_gas.csv 
0,0.025,0.53,0.56,0.37,0.21,0.73,0,0,0,0.36,2.52,0,0,2.05,0.32,0.33,0.83,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,Training_1018317_inpaint.csv 
0,0.975,0.18,0,0,0,0.5,0,0,0.79,0.43,0.22,0.98,0.23,0.89,0,0,0.05,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,Training_1018317_KN95.csv 
0,0.875,0.54,0.06,0.5,0,0.53,0,1.41,2.45,0.46,1.38,1.11,3.16,0.46,0.24,0,0.19,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,Training_1018317_N95.csv 
0,0,0,0,0.27,0,1.92,0.81,1.02,0.11,0.82,0,0.47,0.67,2.23,0.56,0,0.21,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,Training_1018317_surgical.csv 
0,0,0,0,0.34,0,1.8,0,0.97,0.99,0.97,0,0.72,1.01,1.78,0.53,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,Training_1018317_surgical_blue.csv 
0,0,0,0,0.21,0,1.73,0.36,1.16,0.25,0.64,0,0.31,0.14,1.78,0.62,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,Training_1018317_surgical_green.csv 
0,0.025,0,0,0,0,1.3,1.8,0.75,1.52,1.34,1.15,0.53,2.06,0.09,0.37,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,Training_10209551_cloth.csv 
0,0.975,0.57,0,0,0,0.75,2.14,0.76,0.13,1.56,2.25,0.19,1.57,0.31,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,Training_10209551_gas.csv 
0,0.875,0,0,0,0,1.24,2,0.83,0,0.26,0,0,0,0.57,0.72,0.27,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,Training_10209551_inpaint.csv 
0,0.025,0,0,0,0,0.87,0.15,0.01,1.23,1.35,1.23,1.07,1.54,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,Training_10209551_KN95.csv 
0,0.025,0,0,0,0,0.53,1.74,1.32,1.4,0.26,0.71,0.94,2.39,0.27,0.62,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,Training_10209551_N95.csv 
0,0.875,0,0,0,0,2.15,2.8,1.86,1.65,0.27,0.39,0.6,0.29,0.81,0.37,0.11,1.65,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,Training_10209551_surgical.csv 
0,0.875,0,0,0,0,1.48,2.79,1.74,0.75,0,0,0.46,0,0.83,0.15,0.04,1.36,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,Training_10209551_surgical_blue.csv 
0,0.875,0,0,0,0,2.52,2.95,1.74,1.82,0.56,0.93,0.83,0,1.48,0.5,0.31,0.84,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,Training_10209551_surgical_green.csv 
0,0.975,0,0,0,0,1.27,1.33,0.74,1.17,1.23,0.29,1.01,2.23,0.79,0.68,0,0.23,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,Training_10240470_cloth.csv 
0,0.025,0,0,0,0,1.42,1.62,1.88,0,0,0.54,2.66,1.06,1.17,3.4,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,Training_10240470_empty.csv 
0,0.975,0,0,0.61,0,0.76,1.61,1.2,0.81,1.31,1.21,0.58,1.36,0,0.23,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,Training_10240470_gas.csv 
0,0.025,0,0,0.17,0,0.76,0.71,0.59,0,0,0.66,0,0,0.88,0,0.46,1.93,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,Training_10240470_inpaint.csv 
0,0,0,0,0,0,0.63,1.06,0.25,0,0.76,0.37,1.56,0.82,1.22,0.69,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,Training_10240470_KN95.csv 
0,0.875,0,0,0.81,0,0.77,0.9,0.87,1.31,0.44,1.26,1,3.88,1.14,0.22,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,Training_10240470_N95.csv 
0,0.025,0,0,0.06,0,1.47,1.63,1.84,0.41,0.3,0.07,0.48,0.97,2.41,0.52,0,0.93,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,Training_10240470_surgical.csv 
0,0.025,0,0,0,0,1.48,0.75,1.49,1.21,0.21,0,0.79,0.37,2.9,0.66,0.13,0.85,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,Training_10240470_surgical_blue.csv 
0,0.025,0,0,0,0,1.44,1.18,1.84,0.71,0.47,0,0.27,0.67,1.95,0.69,0.1,0.67,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,Training_10240470_surgical_green.csv 
0,0,0.38,0,0,0,1.17,2.4,0.76,1.89,1.46,0.92,1.01,2.01,2.4,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,Training_10246389_gas.csv 
0,0,0,0,0,0,0.92,2.4,0.06,0,0.12,0,0.54,2.05,1.65,0.11,0,0.75,0.36,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,Training_10246389_inpaint.csv 
0,0,0,0,0,0,1.14,3.55,1.39,0.95,0.35,0,0.44,0,0.36,0.52,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,Training_10246389_KN95.csv 
0,0,0,0,0,0,2.06,2.45,1.59,0.74,0.35,0,0,0.4,1.88,0.31,0,0,0.24,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,Training_10246389_surgical.csv 
0,0,0,0,0,0,2.53,3.23,1.21,0.93,0.36,0,0,0.3,2.11,0.97,0,0.08,0.09,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,Training_10246389_surgical_blue.csv 
0,0,0,0,0,0,2,3.01,1.65,0.9,0,0,0,0.15,2.21,0.32,0.19,0.25,0.2,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,Training_10246389_surgical_green.csv 
0,0.025,0,0,0,0,1.09,0.33,1.43,1.55,0.41,0,0.33,1.5,0.8,0.51,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,Training_10348116_surgical.csv 
0,0,0.61,0,0,0,0.71,2.03,0,0,0.68,1.11,1.02,1.42,1.44,0.73,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,Training_10367793_KN95.csv 
0,0,0,0,0,0,0.31,0,0,1.06,0.83,1.85,0.88,2.46,0.65,1,0,0.16,0.19,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,Training_10437958_cloth.csv 
0,0.025,0.28,0,0,0.04,0.33,0,0,0.93,1.37,1.28,0.85,1.92,0,0.48,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,Training_10437958_gas.csv 
0,0.875,1.31,0,0,0,0,0.19,0,0,0.24,0,0,0.11,0.75,0.68,0.19,0.57,0.44,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,Training_10437958_inpaint.csv 
0,0,0,0,0,0,0.18,0,0,1.03,0.98,0.26,0.71,1.92,0.96,0.96,0,0.37,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,Training_10437958_KN95.csv 
0,0.875,0,0,0,0,0.13,0,0,1.41,0.46,0.98,1.05,3.28,1.79,0.84,0,1.09,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,Training_10437958_N95.csv 
0,0,0,0,0,0,0.67,0.36,0.04,0.48,0.63,0,0.3,0.74,1.93,0.75,0.08,1.51,0.31,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,Training_10437958_surgical.csv 
0,0.875,0,0,0,0,1.16,0.29,0.16,0.15,0.54,0,0.47,0.59,1.5,0.54,0.41,1.78,0.06,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,Training_10437958_surgical_blue.csv 
0,0,0,0,0,0,0.8,0.42,0.23,0.31,0.48,0,0.09,0.55,1.93,0.65,0.24,0.71,0.16,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,Training_10437958_surgical_green.csv 
0,0.875,0,0,0,1.25,0,0.58,0,0.64,0.83,1.58,1.82,1.74,0.41,0.79,0,0.41,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,Training_10441891_KN95.csv 
0,0.875,0,0,0,1.08,0,0,0,1.18,0.47,2.57,1.14,1.59,0.7,0.37,0,0.27,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,Training_10441891_N95.csv 
0,0.875,0,0,0,0.26,0,0,0.12,1.39,0.29,1.24,1.36,0.78,2.44,1.02,0,0.86,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,Training_10441891_surgical.csv 
0,0.875,0,0,0,0.62,0.29,0,0.33,2,0.56,1.06,1.28,0.96,2.48,0.68,0.09,1.49,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,Training_10441891_surgical_blue.csv 
0,0.875,0,0,0,0.22,0,0,0.13,1.78,0.31,1.27,1.61,1.13,2.6,1.01,0.08,1.02,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,Training_10441891_surgical_green.csv 
0,0.875,0,0,0,0.06,0.35,1.07,0.33,0.17,0.97,0.87,1.82,1.52,0.71,0.01,0,0.27,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,Training_10474350_cloth.csv 
0,0.025,0,0,0.24,0.26,1.02,1.02,0,0,1.66,1.57,1.23,1.6,0.53,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,Training_10474350_gas.csv 
0,0.025,0,0,0,0,0.46,0.02,0,0,0.51,0,0,0,0.42,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Training_10474350_inpaint.csv 
0,0.875,0,0,0,0,1.66,2.25,0.42,0.84,1.27,0.18,0.92,2.3,1.07,0.47,0,0.23,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,Training_10474350_KN95.csv 
0,0.875,0,0,0,0,0.26,0.7,0.78,0.68,1.04,1.33,1.48,2.22,0.44,0.75,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,Training_10474350_N95.csv 
0,0.875,0,0,0,0,0.85,1.22,0.77,0.09,0.53,0,0.77,0.19,2.15,0.55,0.01,2.05,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,Training_10474350_surgical.csv 
0,0.875,0,0,0,0,0.91,1.5,0.79,0.64,0.22,0.9,0.79,0.23,2.83,0.56,0,1.18,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,Training_10474350_surgical_blue.csv 
0,0.825,0,0,0,0,0.73,1.04,1.17,0,0.38,0,0.78,0.22,2.43,0.38,0.07,1.78,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,Training_10474350_surgical_green.csv 
0,0.025,0,0,0.99,0,1.38,0.84,1.96,1.14,0.42,0.29,0.99,0,0.97,0.55,0,0.76,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,Training_10499284_surgical_green.csv 
0,0.975,0,0,0,0.59,0.22,2.5,0,0.35,0.7,0.46,0.87,1.67,0.41,0.54,0,0.7,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,Training_10556356_cloth.csv 
0,0.825,0.03,0,0,0.7,0.33,1.67,0,0,0.79,1.44,0.72,1.64,0.58,0.15,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,Training_10556356_gas.csv 
0,0.975,0.1,0,0,0.08,0.33,2.5,0.76,0,0.04,0,0,0,0,0.88,0.3,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,Training_10556356_inpaint.csv 
0,0,0,0,0,0,0.75,2.85,0.1,0.22,0.95,0.14,1.36,1.13,0.31,0.25,0,0.15,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,Training_10556356_KN95.csv 
0,0.925,0,0,0,0.81,0,2.22,0.28,0.63,0.5,1.91,1.08,2.63,0,0.36,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,Training_10556356_N95.csv 
0,0.925,0,0,0,0.29,0.71,2.1,0.93,2.09,0.47,0.11,0.97,0.51,1.16,0.27,0,1.22,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,Training_10556356_surgical.csv 
0,0.975,0,0,0,0.02,0.68,2.71,0.72,1.33,0.48,0,1.18,0.34,1.64,0.35,0.17,1.83,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,Training_10556356_surgical_blue.csv 
0,0.925,0,0,0,0.18,0.77,2.62,0.69,1.48,0.49,0,1.02,0.39,1.15,0.3,0,0.9,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,Training_10556356_surgical_green.csv 
0,0.025,0,0,0,0,1.04,0,0.48,0.82,0.59,0,0.34,0,1.86,0.39,0,1.28,0.07,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,Training_10558819_surgical.csv 
0,0.025,0,0,0,0,1.08,0,0.7,0.81,0.49,0,0.19,0,1.54,0.34,0.02,1.41,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,Training_10558819_surgical_green.csv 
0,0.875,0,0,0.51,0,1.18,0.78,0,1.51,0.97,1.15,1.13,1.51,0.44,0.91,0,0,0.07,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,Training_10574339_cloth.csv 
0,0.875,0.26,0,1.38,0,0.61,0.83,0.39,0.78,1.42,1.93,0.81,1.77,0.5,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,Training_10574339_gas.csv 
0,0.025,0.36,0,0.88,0,0.69,0.53,0,0,0.06,0.77,0,0.25,1.86,0.17,0,0,0.1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,Training_10574339_inpaint.csv 
0,0.875,0,0,0.49,0,0.34,0.63,0,0.67,0.29,1.19,1.06,0.78,0.96,0.64,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,Training_10574339_KN95.csv 
