face, confidence, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,File
0,0.975,0,0,0,0.96,1.16,0,0.46,2.35,1.31,1.23,0,0,0.34,0,0.91,0.01,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,Training_10066226.csv 
0,0,0.08,0,0.31,0,0,0,0.27,0.22,0.31,2.02,0.06,0,0.38,0,1.04,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,Training_10070997.csv 
0,0,0,0,0.29,0,0.54,2.37,0.57,0.33,0,0.47,0,1.1,1.17,0.49,0.07,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,Training_10142161.csv 
0,0.925,0,0,0.03,0,0.46,1.49,0,0,1.43,1.51,0,0,0,0,0.43,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,Training_10181727.csv 
0,0,0.61,0.18,0.34,0.06,0.61,0,0.09,0.79,1.44,1.69,0,0,0.93,0,0.86,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,Training_1018317.csv 
0,0.875,0.12,0,0,0,0.65,1.87,0.37,1.45,1.26,1.47,0,0.18,0,0,0.8,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,Training_10209551.csv 
0,0.975,0,0,0,0,1.32,1.71,0.55,1.26,1.86,1.54,0,0,0.34,0,0.98,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,Training_10240470.csv 
0,0,0,0,0,0,1.58,4.06,1.6,1.09,0.57,2.08,0.11,0,1.91,0.06,0.75,0.2,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,Training_10246389.csv 
0,0.875,0.71,1.12,0,1.91,0.34,0,0.15,0.69,0.62,0.49,0,0,0.52,0,0.18,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,Training_10265501.csv 
0,0.925,0,0,0,0,0.23,0,0.07,0.21,2.3,0,0,0,0,0,1.03,0.03,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,Training_1027250.csv 
0,0,0,0,0.19,0.48,0,0,0.22,0,1.15,0.76,0,0,0.66,0.21,0.19,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,Training_10348116.csv 
0,0.875,1,0,0,0.49,1.21,0.48,0,0.65,2.05,1.98,0,0,0.51,0,1.03,0.73,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,Training_10367793.csv 
0,0,0,0,1.04,0,0.11,0,0.6,0,0,0.55,0.45,0,1.19,0.16,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,Training_10391066.csv 
0,0.925,0.42,0,0,0,0.9,0,0,1.38,0.96,1.23,0.11,0,0,0,1.24,1.22,0.02,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,Training_10437958.csv 
0,0.875,0,0,0,0,0.97,0.68,0.24,0.38,0.87,0,0.21,0.07,1.6,0.34,0.16,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,Training_10474350.csv 
0,0.875,0,0.47,1.78,0.25,1.69,1.89,1.22,1.27,2.07,1.81,0,0.07,0.17,0,1.49,0.86,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,Training_10499284.csv 
0,0.925,0,0,0,0.05,0.25,1.42,0,0.6,0.88,0.05,0.6,0,0,0,0.57,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,Training_10556356.csv 
0,0.925,0.05,0,0.99,0,1.22,0.97,0,1.26,1.19,1.77,0,0,1.06,0,0.99,0.11,0.09,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,Training_10574339.csv 
0,0.975,0.73,0.56,0.53,1.17,0.8,0,0,1.41,2.46,2.55,0.06,0.44,1.47,0,1,0.15,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,Training_10599535.csv 
0,0.875,0,0,0,0,0.28,0,0.14,1.17,1.49,1.14,0,0,0,0,0.49,0,0.39,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,Training_10700808.csv 
0,0,0.02,0,1,0.13,2.16,3.45,1.72,1.5,1.8,1.42,0,0,0.73,0,1.61,0.68,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,Training_10722475.csv 
0,0.925,0.68,0.17,0,0,0.01,0,0,0.84,0.89,0.27,0,0,1.47,0,0.62,0.61,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,Training_10728619.csv 
0,0.925,0,0,0,0,1.14,1.28,0,0.06,1.24,0.72,0,0,0.04,0,0.91,0.69,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,Training_10758292.csv 
0,0,0,0,0,0,1.24,1.28,0.24,0.24,2.16,0.77,0,0,0.49,0,1,0,0.09,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,Training_10777307.csv 
0,0.875,0,0,0.31,0.51,1.26,2.55,0.26,1.62,0.92,0.54,0.34,0,0.33,0.2,0.84,0,0.13,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,Training_10810200.csv 
0,0,0,0,0,0,0.8,0.77,0,2.35,1.9,1.14,0,0,0.31,0,0.88,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,Training_10810671.csv 
0,0.625,1.3,0,0,0,0,0,0,0,0,0,0.47,0.48,0.29,0.48,0,0,0.22,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,Training_10834907.csv 
0,0.875,0,0,0.07,0,0.39,0.68,0.31,0.13,1.31,1.13,0,0,0.89,0,1.19,0,0.36,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,Training_10843255.csv 
0,0.875,0,0,0,0,1.1,1.38,0.27,1.77,1.51,2.33,0,0,1.83,0,1.52,0,0.07,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,Training_10967459.csv 
0,0,0,0,0,0.05,0.92,1.46,0.63,1,0.7,0.47,0,0.48,1.72,0.19,0.52,1.3,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,Training_109676.csv 
0,0.875,0.2,0,0,0.09,1.62,1.8,0.83,1.3,2.2,1.19,0.14,0,0,0.02,1.98,0.47,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,Training_11000538.csv 
0,0,0.31,0,0,0,0.44,0.41,0.84,0.6,1.92,1.65,0.17,0,0.23,0,1.03,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,Training_11008550.csv 
