face, confidence, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,File
0,0.875,1.2,0.18,0,0,0.44,0.6,0,0,1.19,2.4,0.5,0,0,0.56,0,1.49,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,Training_10055498.csv 
0,0,1.23,0.11,0.3,0.9,0,0,0,0.13,0,0,0,0,0.12,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Training_10059941.csv 
0,0.975,0,0,0.96,0,0.43,1.05,0.62,0.31,0.5,0.73,0,0,1.83,0.63,0.79,1.09,0.94,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,Training_10082848.csv 
0,0,0.01,0,0,0,0,0,0,0,0.36,0.36,0,0,0.75,0,0,1.17,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,Training_1017299.csv 
0,0.925,0.03,0.04,0,0.39,0.08,0,0.48,0.5,0.87,0.32,0.32,0,0.48,0,0.78,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,Training_10188996.csv 
0,0.875,0.63,0,0,0.1,0,0,0.44,0,0,0,0.17,0,0.28,0,0,0.41,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Training_10195012.csv 
0,0.575,0,0,0,0,0,0,0,0,0.14,0,1.41,0,0.21,0,0.19,0.99,0.08,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,Training_10214759.csv 
0,0.975,0.29,0,0,0,0.24,0,0.46,0,0.4,0.96,0.36,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Training_10240785.csv 
0,0.875,0.11,0,0,0,0,0,0,0,0,0,0,0.99,0.34,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Training_10259428.csv 
0,0.875,0,0,0,0,0,0,0,0,0.28,1.04,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,Training_10310920.csv 
0,0,0,0,0,0,0,0.64,0.67,0,0.07,1.45,0,0,1.51,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,Training_10311326.csv 
0,0,0,0,0,0.24,0,0,0,0,0,0,0.63,0,0.2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,Training_1033260.csv 
0,0.975,1.92,1.44,0,0.6,0,0,0,0,0,0,0,0,1.79,0,0.3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,Training_10406116.csv 
0,0.875,0.32,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0.14,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,Training_10435891.csv 
0,0,1.16,0,1.15,0.44,0.48,1.29,0,0.9,0,0.41,0.17,0.53,0.75,0,0.71,0,0.17,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,Training_10486039.csv 
0,0.875,0.75,0,0,0.97,0,0,0,0,0.45,0,0,0.88,0.61,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,Training_10521653.csv 
0,0.875,0.3,0,0,0.54,0,0,0,0,0,0.1,0,0.24,0.66,0.01,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,Training_10547261.csv 
