face, confidence, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,File
0,0,0.75,0,0,0.35,0.28,0,0.06,0.86,0.59,0,1.23,2.79,3.17,0.38,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,Training_10031481_cloth.csv 
0,0,1.5,0,0,0.41,0.03,0,0.1,1.11,1.03,0.48,0.57,2.19,0.31,0.6,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,Training_10031481_gas.csv 
0,0,0,0,0,0,0.15,0,0.37,1.15,0.83,0.66,1.42,2.13,0.96,1.01,0,0.29,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,Training_10031481_KN95.csv 
0,0,0.51,0,0,0.66,0,0,0.17,0.71,0.44,1.63,0.78,2.77,0.75,0.85,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,Training_10031481_N95.csv 
0,0,0.34,0,0,0,0.29,0,1.08,0.65,0.53,0,0.38,0.53,1.75,0.32,0,0,0.11,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,Training_10031481_surgical.csv 
0,0,0.18,0,0,0.43,0.89,0,0.55,0.96,0.21,0.14,0.66,0.94,2.3,0.77,0,0.68,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,Training_10031481_surgical_blue.csv 
0,0,0.09,0,0,0.02,0.41,0,1.05,1.19,0.7,0.24,0.43,0.52,2.23,0.08,0.36,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,Training_10031481_surgical_green.csv 
0,0.875,0,0,0,0,0,0,0,0.72,0.95,0,0.8,1.7,1.85,0.75,0,1.53,0.27,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,Training_10115766_cloth.csv 
0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,1.21,0.28,0.18,0.25,0.38,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,Training_10115766_inpaint.csv 
0,0.025,0,0,0,0,0,0,0.03,1.11,0.75,0,1.3,0.91,1.33,0.75,0,2.03,0.12,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,Training_10115766_KN95.csv 
0,0.025,0,0,0,0,0,0,0,0.35,0.55,0.13,1.16,2.86,1.61,0.67,0,0,0.23,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,Training_10115766_N95.csv 
0,0.475,0,0,0,0,0.12,0,0.38,0,0.52,0,0.56,0.68,2.2,0.23,0.01,0.73,0.56,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,Training_10115766_surgical.csv 
0,0.875,0,0,0,0,0.67,0,0,0.47,0.82,0,0.56,0,2.55,0.73,0.29,2.43,0.36,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,Training_10115766_surgical_blue.csv 
0,0.475,0,0,0,0,0.3,0,0.34,0,0.68,0,0.52,0.46,2.41,0.11,0.19,1.1,0.49,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,Training_10115766_surgical_green.csv 
0,0,0,0,0,0,0.76,0,0.9,1.26,0.42,0,0.67,1.32,0.81,0.18,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,Training_10122997_surgical_blue.csv 
0,0.025,0.17,0,0.21,0,0.35,1.11,1.31,2.11,0.74,3.55,0.7,0.55,0,0.86,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,Training_10134025_N95.csv 
0,0.775,0.38,0,0,0.03,1.33,0.04,0.12,0.39,0.53,0,1.59,1.92,1.63,0.04,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,Training_10134025_surgical.csv 
0,0.025,0,0,0,0,1.56,0.96,0.95,0.82,0.56,0,0,0.6,1.87,0.72,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,Training_10134025_surgical_blue.csv 
0,0.975,0,0,0,0,0.55,1.23,0.56,2.03,1.4,1.85,0.74,1.72,1,0.9,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,Training_10192232_gas.csv 
0,0.025,0.4,0.82,0,0.13,0.46,1.64,0.3,0,0,0,0.68,1.75,1.92,0,0.74,1.58,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,Training_10192232_inpaint.csv 
0,0,0,0,0,0.32,0.64,0.67,0.39,0.9,0.65,0.81,0.64,0.64,0.94,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,Training_10192232_KN95.csv 
0,0,0,0,0,0.43,1.55,2.63,1.6,0,0.66,0,0.31,0.4,1.32,1.13,0.46,0.77,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,Training_10192232_surgical.csv 
0,0,0,0,0,0,1.74,2.37,1.24,0,0.64,0,0.6,0,1.25,0.88,0.3,0.09,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,Training_10192232_surgical_blue.csv 
0,0,0,0,0,0.4,1.72,2.57,1.64,0,0.56,0,0.37,0.19,1.84,0.88,0.5,0.73,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,Training_10192232_surgical_green.csv 
0,0,0,0,0,0.25,0.32,1.16,0,0.28,1.26,0.75,0.89,2.2,0.79,0,0,0,0.42,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,Training_10204058_cloth.csv 
0,0,0.41,0,0.73,0.98,0,0.41,0.42,0,0.42,1.21,0.86,1.85,0,0.58,0,1.16,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,Training_10204058_gas.csv 
0,0,0,0,0.46,0,0,0.62,0,0.25,0.77,0.02,1.19,2.05,0.48,0,0,0,0.34,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,Training_10204058_KN95.csv 
0,0,0,0,0.44,0,0.12,0,0.34,0,0.22,0.78,0.65,2.22,0,0.2,0,0,0.15,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,Training_10204058_N95.csv 
0,0.025,0,0,0,0,0.43,1.13,0.59,0.44,0.22,0,0.48,0.88,2.26,0.43,0,1.09,1.21,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,Training_10204058_surgical.csv 
0,0.875,0,0,0,0.15,0.51,1.47,0.84,0.31,0.44,0,0.39,0,2.76,0.03,0.32,2.01,0.78,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,Training_10204058_surgical_blue.csv 
