face, confidence, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,File
0,0.875,0.93,0.08,0,1.11,0.25,1.15,0.86,1.88,1.03,0.99,0.98,2.59,1.44,0.11,0,0.58,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,Training_1002457_cloth.csv 
0,0,1.44,0.44,0,0.75,0.17,0,0.3,0.88,0.87,0,0.46,1.77,0.36,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,Training_1002457_gas.csv 
0,0.025,1.29,0.67,0,0,0,0.01,0.01,0,0.09,0,0.93,0.49,1.47,0.06,0.33,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Training_1002457_inpaint.csv 
0,0,0,0,0,0,0,0,0.21,0,0.6,0,0.71,0,0,0.08,0,0.6,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,Training_1002457_KN95.csv 
0,0.025,0.87,0,0,0.54,0.26,0.51,0.99,0.55,1.24,2.35,0.55,1.04,0.51,0.2,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,Training_1002457_N95.csv 
0,0,1.65,0.53,0,0.33,0.7,1.06,0.67,0.5,0.33,0,0.44,0.08,1.91,0.25,0.52,0.17,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,Training_1002457_surgical.csv 
0,0.025,2.15,0.18,0,0,0.9,1.41,0.95,0.23,0.81,0.05,0.54,0.13,2.24,0,0.61,0.46,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,Training_1002457_surgical_blue.csv 
0,0,1.83,0.73,0,0.38,0.62,0.58,0.78,0.43,0.62,0,0.52,0.27,1.51,0.49,0.57,0.64,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,Training_1002457_surgical_green.csv 
0,0,0,0,0.16,0.17,0.63,1.07,0.68,2.08,0.63,0.86,1.3,2.34,0.75,0.95,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,Training_10060820_N95.csv 
0,0.025,0.56,0,0,0.48,0,0,0,0.27,0.42,0.66,0.43,2.17,1.77,0.47,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,Training_10073433_gas.csv 
0,0.025,0.34,0,0,0.39,0.51,0,1.02,1.43,1.43,0,0.93,0.72,0.97,0.93,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,Training_10073433_KN95.csv 
0,0.875,0.79,0.37,0,0.64,0.29,0.24,0.18,1.11,0.57,0,0.43,0.1,1.52,0.29,0,0.07,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,Training_10073433_surgical.csv 
0,0.025,0.79,0.25,0,0,0.64,0.88,0.68,0.82,0.84,0.04,0.32,0,1.59,0,0.47,0.23,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,Training_10073433_surgical_blue.csv 
0,0.875,1.24,0.33,0,0.39,0.29,0.2,0.27,0.72,0.72,0,0.48,0.31,1.79,0,0.09,0.61,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,Training_10073433_surgical_green.csv 
0,0,0.65,0.13,0,2.63,0,0.08,0,0,0.95,1.22,1.72,1.82,1.92,1.47,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,Training_10135912_cloth.csv 
0,0.025,0,0,0,2.02,0,0,0.11,0,0,1.17,1.24,0,3.79,1.93,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,Training_10135912_empty.csv 
0,0,1.89,0.57,0,4,0,0,0,0.89,0.9,1.14,1.33,1.78,1.88,0.43,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,Training_10135912_gas.csv 
0,0.825,0.92,0.47,0,2.53,0.08,0,0,0,0.04,0,0.3,0.21,1.95,0.1,0.2,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,Training_10135912_inpaint.csv 
0,0,0.4,0,0,1.66,0,0.46,0,0.51,1.37,1.12,1.51,0.48,0.66,1.2,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,Training_10135912_KN95.csv 
0,0,0.79,0.21,0,2.22,0,0,0,0.51,0.6,1.57,0.84,0.88,0.5,0.86,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,Training_10135912_N95.csv 
0,0,1.24,0.32,0,2.75,0,0.82,0,0,0.08,0.79,0.92,0.17,2.54,1.43,0.22,0.53,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,Training_10135912_surgical.csv 
0,0.875,1.31,0.08,0,3.17,0,0.17,0.24,0.39,0.26,1.02,0.75,0,2.08,0.83,0.25,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,Training_10135912_surgical_blue.csv 
0,0,1.34,0.35,0,3.42,0,0.83,0,0,0.01,0.7,1.13,0,2.5,1.36,0.27,0.18,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,Training_10135912_surgical_green.csv 
0,0.025,0.17,0,0,0.84,0,0,0,0.83,0.82,1.5,0.8,1.84,1.29,0.69,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,Training_10218600_cloth.csv 
0,0,0.26,0,0,1.73,1.13,0,0,1.4,0.44,0.71,0,0.14,0,0,0,0.54,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,Training_10218600_gas.csv 
0,0.875,0,0,0.34,0.76,0,0.28,0,0,0,1.32,0.41,0.17,0.71,0.02,0.23,1.11,0.2,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,Training_10218600_inpaint.csv 
0,0.025,0.29,0,0,1.06,0.26,0.84,0.42,2.2,0.5,0,0.35,1.51,0.22,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,Training_10218600_KN95.csv 
0,0.025,0.48,0,0,0.59,0.62,1.14,0.22,2,0.73,1.98,0.41,0.33,0,0.46,0,0.1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,Training_10218600_N95.csv 
0,0.875,0,0,0.28,0.14,0,1,0.75,1.63,0,0.69,1.25,0.76,0.37,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,Training_10218600_surgical.csv 
0,0.875,0,0,0.34,0.42,0,0.52,0.43,1.42,0.07,0.71,0.94,0.58,0.57,0,0,0,0.14,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,Training_10218600_surgical_blue.csv 
0,0.875,0,0,0.38,0.31,0,0.66,0.45,1.56,0.04,0.87,1.2,0.59,0.61,0.15,0,0,0.09,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,Training_10218600_surgical_green.csv 
0,0.025,0.98,1.05,0,0.7,0,0,0,0,0.33,0,0,0,1.11,1.52,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,Training_10218787_inpaint.csv 
0,0.875,0.95,0.05,0,0.26,0.76,0.76,0,0.74,1.25,0,0.28,0,0.05,1.12,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,Training_10218787_KN95.csv 
0,0.875,1.09,0.5,0,0,0.76,0.78,1.02,0.84,0.22,0,0.65,0.32,1.27,0.7,0.1,0.6,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,Training_10218787_surgical.csv 
0,0.875,1,0.5,0,0,0.85,1.14,0.94,1.1,0.2,0.09,0.39,0.15,1.66,0.47,0.18,0.5,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,Training_10218787_surgical_green.csv 
0,0.875,1.87,0.17,0.73,0.89,0,0,0,0.72,1.22,1.41,1.13,0.19,0,0.23,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,Training_10227694_KN95.csv 
0,0,2.75,0,0.46,0,0,0,0,0.89,0.63,1.32,0.4,1.06,0,0.86,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,Training_10227694_N95.csv 
0,0.975,1.86,0.03,0,0.64,0.78,0.29,0.01,0,0.27,1.41,0,0,1.14,1.21,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,Training_10289074_inpaint.csv 
0,0.825,0.51,0,0,0.65,0.19,0.38,1.32,0.36,0.87,0,0.68,0,0,0,0,1.24,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Training_10289074_KN95.csv 
0,0.875,1.64,0.23,0,0.16,0.78,0.67,0.78,0.67,0.35,0.08,0.93,0,1.01,0.37,0,0.76,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,Training_10289074_surgical.csv 
0,0.025,0,0,0,0,0.99,1.14,0.94,1.49,1.28,0.07,1.19,2.85,0.78,0.45,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,Training_10346302_cloth.csv 
0,0.875,0.43,0,0,0,0.67,1.07,0,0.62,1.22,1.31,0.69,1.27,0.87,0.45,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,Training_10346302_gas.csv 
0,0.025,0.66,0,0,0,0.57,0,0.88,0,0.12,0.43,0.09,0.13,1.76,0.3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,Training_10346302_inpaint.csv 
0,0.025,0.25,0,0.4,0,0.5,0.95,0.18,0.43,0.31,0.66,1,1.07,0.3,0.5,0,0.73,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,Training_10346302_KN95.csv 
0,0.975,0,0,0,0,1.62,1.38,1.28,0.62,0.45,0,0.44,1.58,2.38,1.05,0,0.84,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,Training_10346302_surgical.csv 
0,0.975,0.04,0,0,0,1.42,1.77,1.21,0.56,0.23,0,0.27,0.53,2.07,0.68,0,0.27,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,Training_10346302_surgical_blue.csv 
0,0.975,0.1,0,0,0,1.83,1.44,0.96,0.62,0.52,0,0.3,1.3,2.51,0.89,0,0.77,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,Training_10346302_surgical_green.csv 
0,0.025,0.19,0,0,1.19,0.28,0.62,0.59,2.57,1.1,1.16,1.33,2.93,0.35,0.24,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,Training_10353847_cloth.csv 
0,0.875,0.06,0,0,1.95,0,0,0,0,0.4,0,1.55,1.05,0,0.46,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,Training_10353847_gas.csv 
0,0,0.49,0,0,0.5,0,0,0.26,0,0.66,0,1.08,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Training_10353847_KN95.csv 
0,0.025,0.21,0,0,1.27,0,0,0.62,1.97,0.29,0,0.04,2.5,0.52,0.09,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,Training_10353847_N95.csv 
0,0.875,0.41,0,0,0.68,0.47,1.78,0.31,0.53,0.17,0,0.43,0.05,0.93,0.09,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Training_10353847_surgical.csv 
0,0.875,0,0,0,0.3,1.08,1.36,0,1.56,0.36,0,0.64,0.62,3.52,0.32,0.15,0.49,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,Training_10353847_surgical_blue.csv 
0,0.025,0.39,0,0,0.9,0,0.63,0.57,1.06,0.81,0,1.41,3.72,0.24,0.61,0,0,0.16,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,Training_10366009_cloth.csv 
0,0.775,0.66,0.05,0,0.15,0,0,0.32,1.94,0.65,1.63,1.37,2.67,0.67,0.21,0,0.58,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,Training_10366009_gas.csv 
0,0.875,0.9,0,0,0.03,0,0,0.64,0,0,0,0.48,0.64,0.38,0,0.34,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,Training_10366009_inpaint.csv 
0,0.875,0,0,0,1.08,0,0.95,0.78,0,0.94,1.28,1.17,1.63,0,0.78,0,0,0.26,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,Training_10366009_KN95.csv 
0,0.875,0,0,0,0,0,0.18,1.53,1.54,0.37,3.16,1,3.1,0,0.36,0,0.38,0.01,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,Training_10366009_N95.csv 
0,0.875,0.61,0,0,0,0.39,0.84,1.64,1.86,0.42,0,0.63,1.14,1.5,1.01,0,0.02,0.18,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,Training_10366009_surgical.csv 
0,0.875,0,0,0,0,0.63,1.21,0.83,1.66,0.87,0.21,0.98,1.44,2.58,0.84,0.01,0,0.1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,Training_10366009_surgical_blue.csv 
0,0.875,0,0,0,0,0.14,0.93,1.27,1.42,0.37,0.23,0.63,1.46,2.17,0.86,0.07,0.27,0.15,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,Training_10366009_surgical_green.csv 
0,0.875,0.81,0,0,0,0,0,0,0.43,0.94,2.25,0.91,1.94,1.82,0.87,0,0.86,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,Training_10466459_cloth.csv 
0,0,3.02,0.75,0,0.86,0,1.37,0,1.33,1.09,0.15,0.23,2.19,0,0.5,0,0.13,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,Training_10466459_gas.csv 
